SiteID,Index,LON,LAT,ACSP,AISP,EphSP,PleSP,TriSP,ChiSP,otherSP,Emerg,Units,Notes,Stream width (m),Basin size (km2),figure_table,ele_mean,r_mean,k_mean,bd_mean,cf_mean,ph05_mean,ph15_mean,lit_majority,min_mean,HYBAS_ID,crop,forest.c,forest.o,nodata,shrub.grass,urban,water,tmp_dc_smx,pre_mm_syr,slp_dg_uav,ero_kh_uav,run_mm_syr,ppd_pk_uav,tmp_dc_syr,ele_mt_sav,dis_m3_pyr,for_pc_sse,crp_pc_sse,hft_ix_s93,hft_ix_u93,hft_ix_s09,hft_ix_u09
McCutchan_Lewis_2002_Alpine_9495,79,-105.63,40.23,5780,,1810,407,711,1736,104,,mg DM m-2 yr-1,"1994 to 1995: """"Other taxa"""" in Appendix 1...not clear if that is only insects or not. It was left out ",,,Appendix Table 1/ Table 2,3474.134004,785.8686516,0.019261142,1.312000036,18.39999962,54.39830508,54.77966102,3,,7120535210,0,23.61,6,0,70.07,0,0.31,108,682,184,4764,91,5.368999958,-6,3204,0.527999997,97,0,26,26,26,26
McCutchan_Lewis_2002_Alpine_9596,79,-105.63,40.23,4710,,1353,545,86,1056,253,,mg DM m-2 yr-1,"1995 to 1996: """"Other taxa"""" in Appendix 1...not clear if that is only insects or not. It was left out ",,,Appendix Table 1/ Table 2,3474.134004,785.8686516,0.019261142,1.312000036,18.39999962,54.39830508,54.77966102,3,,7120535210,0,23.61,6,0,70.07,0,0.31,108,682,184,4764,91,5.368999958,-6,3204,0.527999997,97,0,26,26,26,26
McCutchan_Lewis_2002_Foothills_9495,80,-105.44,40.21,1210,,2980,592,5297,1358,602,,mg DM m-2 yr-1,"1994 to 1995: """"Other taxa"""" in Appendix 1...not clear if that is only insects or not. It was left out ",,,Appendix Table 1/ Table 2,2408.512182,345.3425127,0.01715942,1.312000036,18.39999962,61,61.26271186,3,,7121069180,0.13,87.58,9.49,0,2.75,0.05,0,153,462,135,688,68,8.498000145,42,2494,0.273999989,100,0,45,45,49,49
McCutchan_Lewis_2002_Foothills_9596,80,-105.44,40.21,1010,,3759,1263,1978,817,1187,,mg DM m-2 yr-1,"1995 to 1996: """"Other taxa"""" in Appendix 1...not clear if that is only insects or not. It was left out ",,,Appendix Table 1/ Table 2,2408.512182,345.3425127,0.01715942,1.312000036,18.39999962,61,61.26271186,3,,7121069180,0.13,87.58,9.49,0,2.75,0.05,0,153,462,135,688,68,8.498000145,42,2494,0.273999989,100,0,45,45,49,49
McCutchan_Lewis_2002_Montane_9495,81,-105.52,40.21,8110,,2859,547,1832,941,947,,mg DM m-2 yr-1,"1994 to 1995: """"Other taxa"""" in Appendix 1...not clear if that is only insects or not. It was left out ",,,Appendix Table 1/ Table 2,2684.759814,442.2931734,0.018143258,1.312000036,18.39999962,58.63559322,59.11864407,3,,7121069180,0,90.68,7.97,0,1.28,0.07,0,153,462,135,688,68,8.498000145,42,2494,0.273999989,100,0,45,45,49,49
McCutchan_Lewis_2002_Montane_9596,81,-105.52,40.21,6340,,2378,689,628,838,651,,mg DM m-2 yr-1,"1995 to 1996: """"Other taxa"""" in Appendix 1...not clear if that is only insects or not. It was left out ",,,Appendix Table 1/ Table 2,2684.759814,442.2931734,0.018143258,1.312000036,18.39999962,58.63559322,59.11864407,3,,7121069180,0,90.68,7.97,0,1.28,0.07,0,153,462,135,688,68,8.498000145,42,2494,0.273999989,100,0,45,45,49,49
McCutchan_Lewis_2002_Subalpine_9495,82,-105.63,40.21,4710,,729,749,255,1421,894,,mg DM m-2 yr-1,"1994 to 1995: """"Other taxa"""" in Appendix 1...not clear if that is only insects or not. It was left out ",,,Appendix Table 1/ Table 2,3416.766529,758.9005042,0.019592935,1.312000036,18.39999962,54.06666667,54.43333333,4,,7120535210,0,33.33,5.71,0,60.66,0,0.3,108,682,184,4764,91,5.368999958,-6,3204,0.527999997,97,0,26,26,26,26
McCutchan_Lewis_2002_Subalpine_9596,82,-105.63,40.21,3330,,666,507,249,1090,450,,mg DM m-2 yr-1,"1995 to 1996: """"Other taxa"""" in Appendix 1...not clear if that is only insects or not. It was left out ",,,Appendix Table 1/ Table 2,3416.766529,758.9005042,0.019592935,1.312000036,18.39999962,54.06666667,54.43333333,4,,7120535210,0,33.33,5.71,0,60.66,0,0.3,108,682,184,4764,91,5.368999958,-6,3204,0.527999997,97,0,26,26,26,26
Mello_etal2020_Broa,,-47.8988333,-22.1947,11030,,180,,4460,,1020,,mg AFDM m-2 y-1,*Ash free dry mass* . I have mailed the author.,0.84,,dry,739.373067,5634.361459,0.011427464,1.373332977,38.66666794,52.79545455,52.79545455,6,,6120743870,13.38,19.02,15.19,0,44,1.63,6.78,224,1376,38,7314,472,24.47400093,199,738,9.717000008,4,25,78,106,98,133
Mello_etal2020_Chanchim,,-47.8427,-21.9668667,13560,,280,,3390,,4180,,mg AFDM m-2 y-1,*Ash free dry mass* . I have mailed the author.,1.16,,dry,832.5638021,5980.672094,0.010372566,1.373332977,38.66666794,53.37894737,53.35789474,6,,6121262980,29.19,18.46,18.15,0,28.08,6.1,0.03,221,1426,32,6985,481,1594.572998,195,829,2.048000097,3,28,268,268,303,303
