rowname,FEOW_ID,AREA_SKM,area_m,units,q2.5,q25,q50,q75,q97.5
58,158,142226.4,369525056.356882,kgdmm2y,5509.097868549617,55168.326057198006,132597.38347936736,276828.52148741187,930405.7445810611
59,159,174794.3,0,kgdmm2y,0,0,0,0,0
60,160,184530.6,148858272.327627,kgdmm2y,2219.2670745555392,22223.829109305156,53415.09886907254,111516.70158959179,374801.625274028
61,161,132937.2,0,kgdmm2y,0,0,0,0,0
62,162,126646.6,381535974.028809,kgdmm2y,5688.163725674695,56961.498701304394,136907.28406414797,285826.46228635835,960647.3387772024
63,163,182006.4,0,kgdmm2y,0,0,0,0,0
64,164,109507.9,142850066.718803,kgdmm2y,2129.693195480306,21326.832707182515,51259.162946917626,107015.67345396033,359673.91223560495
65,165,70534.6,0,kgdmm2y,0,0,0,0,0
66,166,64138.8,0,kgdmm2y,0,0,0,0,0
67,167,140833.6,330051180.556098,kgdmm2y,4920.598005559361,49275.0649279289,118432.8970475774,247256.79289330228,831016.7581669473
68,168,48411.6,54180347.870387,kgdmm2y,807.752637704095,8088.8671709426735,19441.637962100354,40589.03540264231,136417.56096053025
69,169,119231,506367010.16258,kgdmm2y,7549.218566917236,75598.17620128603,181700.6437663124,379343.23624844407,1274952.177171427
70,170,63166.5,86711299.1522898,kgdmm2y,1292.7432798432242,12945.582829048311,31114.78149559094,64959.49416052096,218325.35971109068
71,171,58212.1,517836435.464176,kgdmm2y,7720.21153585271,77310.50662067719,185816.2396070851,387935.5197592128,1303830.3790797223
72,172,21364.9,93409630.6262987,kgdmm2y,1392.6059630672328,13945.611726792184,33518.35660329157,69977.52789458969,235190.70070844667
73,173,112291.3,1095598414.07796,kgdmm2y,16333.828475095288,163567.61062835102,393135.6765982844,820764.0697042178,2758543.8136773044
74,174,65562.3,189284412.298299,kgdmm2y,2821.963854421601,28259.258731111433,67921.28807618488,141801.815859938,476588.2625071618
75,175,67312.3,0,kgdmm2y,0,0,0,0,0
76,176,104.7,0,kgdmm2y,0,0,0,0,0
77,201,92369.5,115045300.114427,kgdmm2y,1715.16330690964,17175.713849106905,41281.925310198196,86185.82092575134,289665.9002472042
78,202,95809.7,517785526.497333,kgdmm2y,7719.452554896209,77302.90615506948,185797.97184504056,387897.3814685092,1303702.198339644
79,203,123016.3,301451360.656846,kgdmm2y,4494.214992723275,45005.24841011406,108170.36891481811,225831.3287161997,759006.9275194991
80,204,28232.4,0,kgdmm2y,0,0,0,0,0
81,205,106404.4,678913220.046951,kgdmm2y,10121.639410234158,101358.50125388897,243615.730622704,508605.6809699615,1709396.28893164
82,206,25538.1,25178727.9665832,kgdmm2y,375.37935300259585,3759.0638314507423,9034.931164406074,18862.56402919337,63396.06134510109
83,207,11405.5,16928591.3983043,kgdmm2y,252.38144257226008,2527.357844575391,6074.518863583065,12682.000440942007,42623.52014753849
84,208,16334.9,7766039.46645019,kgdmm2y,115.78070481470381,1159.4326016269154,2786.702810902959,5817.903783049532,19553.661133198355
85,209,13449.5,0,kgdmm2y,0,0,0,0,0
86,210,25173.4,53186405.0553928,kgdmm2y,792.9343509618386,7940.476255748952,19084.979558755,39844.42630189396,133914.96989411404
87,211,115162.6,185177895.543885,kgdmm2y,2760.741476372475,27646.175392459394,66447.73880670422,138725.43188534275,466248.7017309768
88,212,17042.4,0,kgdmm2y,0,0,0,0,0
89,213,11249.5,0,kgdmm2y,0,0,0,0,0
90,214,76327,64258579.5591481,kgdmm2y,958.0048702933803,9593.499028297922,23058.02913514693,48139.110640064995,161792.95701861568
91,215,9990.5,5626309.07671808,kgdmm2y,83.88033993671475,839.9810738224518,2018.89925834562,4214.931562407606,14166.157871339097
92,216,7065.8,0,kgdmm2y,0,0,0,0,0
93,217,33.1,0,kgdmm2y,0,0,0,0,0
94,301,262815.2,1372360307.27535,kgdmm2y,20459.95829952851,204886.83946401335,492446.6766332258,1028099.3623450943,3455386.560555316
95,302,301167.6,1463585182.53715,kgdmm2y,21819.992638791595,218506.2776493083,525181.0732860579,1096440.187702301,3685076.3922248017
96,303,71893.7,149264536.64801,kgdmm2y,2225.3239030790373,22284.482432014207,53560.879473004796,111821.05321395388,375824.5346843647
97,304,133757.8,51548200.694053,kgdmm2y,768.5110324343135,7695.90016868807,18497.13955120662,38617.17071139365,129790.22998171079
98,305,53459.4,12662385.2051259,kgdmm2y,188.77832001990606,1890.433635394846,4543.667927043068,9485.98563084638,31881.88657921292
99,306,79139.2,156090703.165008,kgdmm2y,2327.092426653361,23303.596491134387,56010.32587393909,116934.85416417258,393011.7441350495
100,307,490807.4,4014218735.3405,kgdmm2y,59846.344647866594,599303.6852210017,1440429.794579185,3007239.2069623265,10107168.93784506
101,308,302331.4,1411473910.86263,kgdmm2y,21043.08701149837,210726.31367247147,506481.88589685305,1057401.1941555308,3553868.4384221453
102,309,111123.8,1057349622.18179,kgdmm2y,15763.592886777613,157857.24867502274,379410.78936957964,792110.1088234965,2662239.395096517
103,310,158634.9,1029610218.37544,kgdmm2y,15350.037465418556,153715.88817051877,369457.005990822,771329.2226276824,2592395.9563128804
104,311,300760.4,2392284400.9717,kgdmm2y,35665.58929532855,357156.63548101217,858427.9919600247,1792172.2554553933,6023394.384347489
105,312,548620.5,489855227.469122,kgdmm2y,7303.051154782046,73133.04590565992,175775.68916832723,366973.486723971,1233378.115529365
106,313,248563.9,1360407478.5526,kgdmm2y,20281.758466778752,203102.33922258543,488157.62021729763,1019144.9386977962,3425291.225161064
107,314,468524.5,7131463594.75059,kgdmm2y,106320.07278969452,1064693.4547254844,2558996.73587772,5342513.285674091,17955899.28661973
108,315,560636.7,2239108057.39314,kgdmm2y,33381.94586329595,334288.1389571119,803463.4313164351,1677420.6845125344,5637720.537479105
109,316,1911985.8,33601049198.6204,kgdmm2y,500944.29413298686,5016476.166268823,12057128.817796826,25172119.211035028,84602136.33836591
110,317,115236.3,510154053.722623,kgdmm2y,7605.678049828695,76163.56371782695,183059.5558577813,382180.2878948759,1284487.3548884145
111,318,407682.1,2756671052.71228,kgdmm2y,41098.08079190842,411557.82227008924,989181.5518727379,2065151.3574561838,6940862.437449322
112,319,353641.6,481029301.237195,kgdmm2y,7171.469031849289,71815.37727198147,172608.66516006846,360361.57213926245,1211155.8268748636
113,320,451139.3,2904519828.25793,kgdmm2y,43302.29769199209,433630.93833121605,1042234.4110787124,2175911.797740098,7313122.309224014
114,321,365474.1,1253061491.3093,kgdmm2y,18681.38106517632,187076.09601311086,449638.4540860453,938727.033538289,3155010.979016041
115,322,481628.8,2801469308.98591,kgdmm2y,41765.959664818845,418245.98797463794,1005256.595943862,2098711.828758747,7053657.373184196
116,323,552227.6,6730390958.04872,kgdmm2y,100340.6449539434,1004815.2255944686,2415079.073740955,5042050.994640687,16946061.716034804
117,324,760910.7,6377776474.39638,kgdmm2y,95083.65989463335,952171.5672769248,2288549.7434427887,4777890.974947055,16058234.123375505
118,325,363721.1,578924673.050722,kgdmm2y,8630.951074869157,86430.68873406362,207736.64886214506,433699.5787869798,1457640.9156024824
119,326,286912.7,602556181.444518,kgdmm2y,8983.263564328978,89958.76007283975,216216.38826488203,451403.04819083493,1517141.322366425
120,327,637494.7,3796233317.61039,kgdmm2y,56596.489246905556,566759.503455328,1362209.6697718592,2843936.1241051736,9558316.075496476
121,328,495571.7,1034956419.41304,kgdmm2y,15429.741789210431,154514.05045190087,371375.3935451853,775334.312142868,2605856.8463702635
122,329,64353.9,352951624.908723,kgdmm2y,5262.011360355094,52693.991896930376,126650.30734069778,264412.5879942963,888676.4611088866
123,330,34499.2,98094376.0293848,kgdmm2y,1462.4489154485557,14645.021841062775,35199.392765873956,73487.09002352087,246986.14992074977
124,331,38300.2,136323040.975463,kgdmm2y,2032.3844393025513,20352.378936868925,48917.057802541436,102125.97286355155,343239.89201921405
125,332,270059.8,2588348657.09342,kgdmm2y,38588.631067239556,386428.0925143305,928782.1043763163,1939053.1697668866,6517053.223077176
126,333,79546.8,690402337.858198,kgdmm2y,10292.925966738534,103073.77167091933,247738.39276441882,517212.7170617455,1738324.0734698258
127,334,181520,597814581.099985,kgdmm2y,8912.57298488867,89250.86178735114,214514.9507348036,447850.89336322405,1505202.7213888492
128,335,8246.3,4060687.64107785,kgdmm2y,60.539130550060534,606.2412709114385,1457.1043209960653,3042.051240000716,10224.17030513711
129,336,243355.9,523289575.431158,kgdmm2y,7801.510168387087,78124.63437347415,187773.00026222793,392020.72223345476,1317560.5244758294
130,337,207707.8,263252029.118444,kgdmm2y,3924.716788642123,39302.2706519772,94463.22964098996,197214.42090529762,662827.0423098726
131,338,189410.8,0,kgdmm2y,0,0,0,0,0
132,339,584302.5,267360961.856008,kgdmm2y,3985.9751855954964,39915.714685374754,95937.64584233005,200292.61480599083,673172.6861501499
133,340,294675.1,213832500.681903,kgdmm2y,3187.9412599171287,31924.171084766927,76729.92563158381,160191.93824993988,538396.4729591495
134,341,200756.1,615339434.110624,kgdmm2y,9173.843847869915,91867.23864289423,220803.42729436603,460979.58129591466,1549327.5341276363
135,342,591424.1,693240170.886955,kgdmm2y,10335.234058222664,103497.44658858216,248756.69782355148,519338.67065559386,1745469.288947629
136,343,543295.8,1366142594.46632,kgdmm2y,20367.260963328394,203958.5646375093,490215.56284129043,1023441.382556317,3439731.341467575
137,344,834088.7,13382443674.0028,kgdmm2y,199513.37710975515,1997934.9257887572,4802047.886081691,10025415.144203031,33694880.10793939
138,345,636263.4,4427527457.54609,kgdmm2y,66008.19527581624,661008.703478006,1588738.1547049282,3316868.1225602017,11147815.039673
139,346,67547.7,648442673.363168,kgdmm2y,9667.366497203197,96809.39416176117,232681.9260160863,485778.76776806405,1632676.2636250553
140,347,264649,138188950.763968,kgdmm2y,2060.2025248746186,20630.950356681235,49586.60578449303,103523.81325108366,347937.95824295183
141,348,1133181,7295909595.19754,kgdmm2y,108771.73092483015,1089244.457195795,2618005.209072711,5465707.4842409175,18369948.350024663
142,349,60497.4,1453867012.32294,kgdmm2y,21675.108415401886,217055.40125044488,521693.8836613121,1089159.8513741347,3660607.5741065927
143,350,8480.4,0,kgdmm2y,0,0,0,0,0
144,351,151,0,kgdmm2y,0,0,0,0,0
145,352,11059,24443904.0303148,kgdmm2y,364.42416360091755,3649.3581272953606,8771.252884432828,18312.073012870296,61545.890700922915
146,401,102242.6,651836759.693094,kgdmm2y,9717.96754155514,97316.11504061491,233899.83251230133,488321.4367545119,1641222.037083831
147,402,193572.2,465172793.755252,kgdmm2y,6935.070849726973,69448.07643583091,166918.84422084622,348482.71995679766,1171231.6447486477
148,403,220702.9,378504426.046282,kgdmm2y,5642.9676172061645,56508.90306622906,135819.46789725992,283555.3877505883,953014.3796330403
149,404,1422855.5,4569015978.11937,kgdmm2y,68117.58973690981,682132.2638484255,1639508.7514415795,3422863.7980467225,11504060.793699807
150,405,169075.5,234429615.355894,kgdmm2y,3495.0152149757178,34999.2219334834,84120.82772607672,175622.20124298797,590256.755461801
151,406,888906.9,7973356148.64871,kgdmm2y,118871.50440289627,1190383.992131754,2861094.6529127145,5973214.4165922385,20075651.80405208
152,407,1460245.5,13127858152.227,kgdmm2y,195717.8657330541,1959926.5232916754,4710694.475863689,9834693.209728224,33053873.962692752
153,408,330766.8,1557929806.94174,kgdmm2y,23226.538041532756,232591.47948165593,559034.9354969887,1167118.163214154,3922621.259633191
154,409,121142.5,604667351.577831,kgdmm2y,9014.73813602987,90273.94769076504,216973.94348594596,452984.6245861552,1522456.915412233
155,410,2034582.6,17330398938.8528,kgdmm2y,258371.82678876378,2587345.791340797,6218700.232674191,12983013.282856327,43635208.08996927
156,411,200040.2,324323547.588687,kgdmm2y,4835.207069194484,48419.95668115033,116377.63954353583,242965.95486022552,816595.4827376992
157,412,229209.1,526557258.944066,kgdmm2y,7850.226724859702,78612.48391544874,188945.5493935967,394468.6969512868,1325788.0356001256
158,413,173127.5,420506780.375887,kgdmm2y,6269.163532017999,62779.653963802004,150891.25312066855,315021.3179981581,1058769.6757406243
159,414,147254.2,239011437.979668,kgdmm2y,3563.3237337526625,35683.26616836334,85764.93191069865,179054.65909892277,601793.0613671134
160,415,135238.2,919716899.506597,kgdmm2y,13711.682938889544,137309.34051544243,330023.77597515733,689002.9920772276,2315701.9313537106
161,416,183484.6,65788690.2352423,kgdmm2y,980.8166642957184,9821.9372444086,23607.081678658324,49285.388189823825,165645.53409936425
162,417,250914.6,828971896.170214,kgdmm2y,12358.80281381576,123761.54491673711,297461.5726841037,621021.6612477428,2087220.341421532
163,418,655385.4,3197914059.71844,kgdmm2y,47676.3922422215,477433.29583327996,1147513.6248975212,2395707.1537272916,8051842.657632995
164,419,41017.1,65418029.4929631,kgdmm2y,975.2906349504357,9766.599365867252,23474.076774825022,49007.70887283733,164712.26887695352
165,420,44054.6,498579976.645934,kgdmm2y,7433.124870398191,74435.60928823275,178906.40762018165,373509.60483941686,1255345.6563347573
166,421,34980.5,112358021.762355,kgdmm2y,1675.0997734985215,16774.516025621895,40317.64407395813,84172.65488942507,282899.75767298753
167,422,50424.5,113458268.885826,kgdmm2y,1691.502907679869,16938.777666360325,40712.44785584852,84996.90152499585,285670.00620289386
168,423,133306.3,277293635.063623,kgdmm2y,4134.057346346794,41398.615356684255,99501.80598689514,207733.64536989966,698181.5889361255
169,424,28932.7,0,kgdmm2y,0,0,0,0,0
170,425,596407.7,4450580595.47903,kgdmm2y,66351.88507672404,664450.4268692817,1597010.3563278257,3334138.3075715736,11205859.200940138
171,426,27558.7,0,kgdmm2y,0,0,0,0,0
172,427,521479.9,4076247198.39627,kgdmm2y,60771.10162369646,608564.2385064132,1462687.5867395583,3053707.632911991,10263346.813639456
173,428,55133.5,276027270.012653,kgdmm2y,4115.1776279539845,41209.553102751786,99047.39379102454,206784.952016925,694993.0816944913
174,429,81147.4,101684943.195247,kgdmm2y,1515.9792121904134,15181.07637032654,36487.80285663772,76176.95200372422,256026.6311004507
175,430,209802.5,698151049.574139,kgdmm2y,10408.448339210803,104230.6173221528,250518.87782543016,523017.6398155748,1757834.1060632616
176,431,70741.5,0,kgdmm2y,0,0,0,0,0
177,432,101878.8,177364368.576671,kgdmm2y,2644.252799839101,26479.653133769418,63643.99596498079,132871.95299202824,446575.4745690441
178,433,83715.9,178970723.706658,kgdmm2y,2668.201291207974,26719.474282701703,64220.407451863095,134075.3488320888,450620.02314583596
179,434,232214.7,962233290.967634,kgdmm2y,14345.542422967956,143656.83470168957,345280.0141266329,720854.0116080163,2422751.491792724
180,435,56823.7,0,kgdmm2y,0,0,0,0,0
181,436,26862.2,0,kgdmm2y,0,0,0,0,0
182,437,24779.6,1886829.38579334,kgdmm2y,28.12996728847473,281.69461577516927,677.0546011000404,1413.5122373507324,4750.7384665439995
183,438,43271.9,0,kgdmm2y,0,0,0,0,0
184,439,532109.4,0,kgdmm2y,0,0,0,0,0
185,440,2317386.5,0,kgdmm2y,0,0,0,0,0
186,441,342217.6,944591489.48773,kgdmm2y,14082.528023109644,141022.99799823275,338949.57272393006,707637.7121012798,2378332.2212742753
187,442,513545.6,2844233561.36738,kgdmm2y,42403.51440594401,424630.48661251855,1020601.7745039806,2130748.532510288,7161331.008284078
188,443,226414.9,0,kgdmm2y,0,0,0,0,0
189,444,17057.3,0,kgdmm2y,0,0,0,0,0
190,445,52200.4,42133398.9644324,kgdmm2y,628.1496056536147,6290.315235681652,15118.808220626837,31564.101919244178,106085.24580637293
191,446,67537.2,41247031.7187141,kgdmm2y,614.9351190575478,6157.984839198385,14800.75136477306,30900.08271430537,103853.51303740927
192,447,92395.5,0,kgdmm2y,0,0,0,0,0
193,448,506742.6,0,kgdmm2y,0,0,0,0,0
194,449,41661.1,0,kgdmm2y,0,0,0,0,0
195,450,297512.8,23112302.2685942,kgdmm2y,344.5718577800995,3450.5563440192827,8293.431674738888,17314.507785382357,58193.12772237522
196,451,89757.9,393280.180158651,kgdmm2y,5.863253289547824,58.71485258599558,141.1214800356261,294.62459698125616,990.2173954236348
197,452,310711.5,0,kgdmm2y,0,0,0,0,0
198,453,103018,368279326.592768,kgdmm2y,5490.52579320531,54982.34455303873,132150.37588298842,275895.2869939991,927269.1937334567
199,501,445495.9,328402546.358264,kgdmm2y,4896.019192867067,49028.931716092484,117841.31448183044,246021.7238239421,826865.7575731036
200,502,473079.8,58839872.7405536,kgdmm2y,877.2195874794771,8784.511980102005,21113.624192567033,44079.703649496696,148149.50885321767
201,503,3635360.8,0,kgdmm2y,0,0,0,0,0
202,504,4421837.9,0,kgdmm2y,0,0,0,0,0
203,505,1108841.3,5564339712.81712,kgdmm2y,82956.46404600264,830729.343758595,1996662.6728481206,4168507.410401929,14010128.797884865
204,506,47031.7,447568130.671827,kgdmm2y,6672.610131026038,66819.78431759491,160601.72926005858,335294.2425617443,1126905.8828484486
205,507,261505.9,1187572034.15409,kgdmm2y,17705.02554443514,177298.83283840964,426138.7467864181,889665.814859302,2990118.866563846
206,508,128171.6,977147239.529059,kgdmm2y,14567.888379806278,145883.41599268152,350631.61484374624,732026.7487709633,2460302.4593853927
207,509,626435.3,1504911508.57167,kgdmm2y,22436.109924359047,224676.10075114577,540010.2779819916,1127399.6735012669,3789129.555828984
208,510,38750.5,33981338.477789,kgdmm2y,506.61387139509446,5073.25153938173,12193.588747957316,25457.011715829303,85559.64469633593
209,511,163992.1,432610550.408535,kgdmm2y,6449.613686997143,64586.68902189985,155234.4720958254,324088.8188480208,1089245.0575198443
210,512,127020.2,262826351.742814,kgdmm2y,3918.3705388210874,39238.719052836794,94310.48301327444,196895.52605229884,661755.2538917095
211,513,11729.9,0,kgdmm2y,0,0,0,0,0
212,514,274125.8,1836715903.7398,kgdmm2y,27382.845889215347,274212.9122472733,659072.2843855763,1375969.881548832,4624560.631559671
213,515,73892.6,268384926.199769,kgdmm2y,4001.241051026382,40068.58767143012,96305.07692832316,201059.7144395957,675750.8666856568
214,516,413289.2,4621727182.47865,kgdmm2y,68903.43951512873,690001.79490981,1658423.2138247108,3462352.2292574807,11636779.283274423
215,517,179972.1,1272363577.54158,kgdmm2y,18969.147971077597,189957.805300554,456564.65864528803,953187.1300902913,3203610.584385069
216,518,76867,276922816.68589,kgdmm2y,4128.528966879029,41343.25394392252,99368.74451843015,207455.84796081396,697247.9268125325
217,519,11769.1,0,kgdmm2y,0,0,0,0,0
218,520,1124333.9,1255300808.14148,kgdmm2y,18714.76612357749,187410.41532114652,450441.9924324182,940404.6106257696,3160649.2252154686
219,521,387491.2,222315541.806655,kgdmm2y,3314.411449083557,33190.64860956826,79773.91152033405,166546.98154641938,559755.431054711
220,522,1242882.8,893872466.835268,kgdmm2y,13326.378866826877,133450.89015098818,320749.9687169636,669641.7174843206,2250629.7306756056
221,523,1129298.6,5236905779.31981,kgdmm2y,78074.88550595718,781845.0213165343,1879168.9275737298,3923211.3198241745,13185701.854553457
222,524,56317,168951723.776164,kgdmm2y,2518.8321206671376,25223.685443964023,60625.270524042884,126569.64687811227,425393.76330248156
223,525,427614.6,267630714.106341,kgdmm2y,3989.9968115225643,39955.98740800892,96034.44155879504,200494.69884695899,673851.8797231051
224,526,15880.2,121231301.564634,kgdmm2y,1807.3878714362384,18099.25432119258,43501.660054531305,90820.0442508563,305241.2751405938
225,527,286767.9,0,kgdmm2y,0,0,0,0,0
226,528,179550.7,160644511.017736,kgdmm2y,2394.9832846714417,23983.458254496098,57644.377464628415,120346.32484341918,404477.5132703488
227,529,251550,0,kgdmm2y,0,0,0,0,0
228,530,233170.6,174682280.397772,kgdmm2y,2604.2666445961822,26079.230178350794,62681.5771285177,130862.67515743832,439822.40003135824
229,531,949598.5,197328754.348208,kgdmm2y,2941.893658581449,29460.240579271678,70807.85473595915,147828.2091388409,496842.6456020443
230,532,277921.9,1273851726.83958,kgdmm2y,18991.33418006305,190179.97888332335,457098.654107157,954301.9724070191,3207357.509341401
231,533,207433.2,286067119.639473,kgdmm2y,4264.857638086382,42708.454701572504,102650.01225529704,214306.2734546364,720271.837781066
232,534,284261.5,570614866.213099,kgdmm2y,8507.063564808148,85190.07426096125,204754.8249643263,427474.31340610265,1436718.134088537
233,535,542376.2,2894079672.14255,kgdmm2y,43146.649676213114,432072.2728855228,1038488.1498707079,2168090.587968799,7286835.644606903
234,536,185288.9,639564784.836238,kgdmm2y,9535.009689675386,95483.96780561144,229496.25627802257,479127.9257952087,1610323.142116487
235,537,552812.3,4677982744.31539,kgdmm2y,69742.1306687525,698400.4816146779,1678609.5047876416,3504495.904607246,11778421.905329768
236,538,10794.1,524801287.299453,kgdmm2y,7824.047662092094,78350.32573545339,188315.45072630967,393153.21637482883,1321366.7762636775
237,539,10490.4,247745164.758041,kgdmm2y,3693.5312927571613,36987.16986397207,88898.87181251006,185597.50275604406,623783.2063556897
238,540,416903.4,1375631216.1205,kgdmm2y,20508.722941159827,205375.17053268742,493620.38311673835,1030549.7533103242,3463622.1925569237
