pub_number,pub_name,chemical,chemical_category,organisms,study_type,water_units,water_conc,water_conc_measure_type,water_conc_error_lower_limit,water_conc_upper_limit,water_conc_error_measure,water_conc_sample_size,sediment_units,sediment_conc,sediment_conc_measure_type,sediment_conc_error_lower_limit,sediment_conc_upper_limit,sediment_conc_error_measure,sediment_conc_sample_size,adult_units,adult_conc,adult_conc_measure_type,adult_conc_error_lower_limit,adult_conc_upper_limit,adult_conc_error_measure,adult_conc_sample_size,emergence_mgdm_m2_y,contaminant_flux_mg_m2_y,comments,coordinates,coord,latitude,longitude,comments_from_ralf,,,,,,,,,,,,,,,,,,
13,"Fletcher, D.E., A.H. Lindell, P.T. Stankus, C.M. Fulghum, E.A. Spivey. 2022. Species- and element-specific patterns of metal flux from contaminated wetlands versus metals shed with exuviae in emerging dragonflies. Environmental Pollution 300: 13.",Cu,Cu,Pachydiplax (Odonata) ,field,ugl,23.8,mean,10.8,127.2,range,36,,,,,,,,ng_mg_dm,49.8333333,mean,2.62470606,,standard deviation,55,,,,32.55338° N,81.29770° W,,,,,,,,,,,,,,,,,,,,,
13,"Fletcher, D.E., A.H. Lindell, P.T. Stankus, C.M. Fulghum, E.A. Spivey. 2022. Species- and element-specific patterns of metal flux from contaminated wetlands versus metals shed with exuviae in emerging dragonflies. Environmental Pollution 300: 13.",Cu,Cu,Plathemis (Odonata) ,field,ugl,23.8,mean,10.8,127.2,range,36,,,,,,,,ng_mg_dm,34.4666667,mean,5.15213939,,standard deviation,60,,,,32.55338° N,81.29770° W,,,,,,,,,,,,,,,,,,,,,
13,"Fletcher, D.E., A.H. Lindell, P.T. Stankus, C.M. Fulghum, E.A. Spivey. 2022. Species- and element-specific patterns of metal flux from contaminated wetlands versus metals shed with exuviae in emerging dragonflies. Environmental Pollution 300: 13.",Cu,Cu,Tramea (Odonata) ,field,ugl,23.8,mean,10.8,127.2,range,36,,,,,,,,ng_mg_dm,34.4,mean,1.55420842,,standard deviation,13,,,,32.55338° N,81.29770° W,,,,,,,,,,,,,,,,,,,,,
26,"Koch, A., M. Jonsson, L.W.Y. Yeung, A. Karrman, L. Ahrens, A. Ekblad, T. Wang. 2020. Per- and Polyfluoroalkyl-Contaminated Freshwater Impacts Adjacent Riparian Food Webs. Environmental Science and Technology 54: 11951-11960.",?24 PFASs,PFAS,Emerging aquatic insects,field,ugl,3.4833333,mean,0.271857806,,standard deviation,6,,,,,,,,ng_mg_dm,1.0363,mean,1.2765,,standard deviation,7,,,pond,56.25405° N,15.26364° O,,,,,,,,,,,,,,,,,,,,,
26,"Koch, A., M. Jonsson, L.W.Y. Yeung, A. Karrman, L. Ahrens, A. Ekblad, T. Wang. 2020. Per- and Polyfluoroalkyl-Contaminated Freshwater Impacts Adjacent Riparian Food Webs. Environmental Science and Technology 54: 11951-11960.",?24 PFASs,PFAS,Emerging aquatic insects,field,ugl,1.22966667,mean,0.713246334,,standard deviation,3,,,,,,,,ng_mg_dm,0.104425,mean,0.073423946,,standard deviation,4,,,downstream site,56.25405° N,15.26364° O,,,,,,,,,,,,,,,,,,,,,
23,"Jackson, A.K., Eagles-Smith, C.A., Robinson, W.D. (2021) Differential reliance on aquatic prey subsidies influences mercury exposure in riparian arachnids and songbirds. Ecology and Evolution 11, 7003-7017.pdf",MeHg,Hg,Ephemeroptera,field,ugl,0.00009,mean,0.00004,,standard deviation,28,,,,,,,,ng_mg_dm,0.0022945,geometric mean,0.0005129,,standard error,7,,,Water concmns from Hope & Rubin 2005,44.63506° N,123.10699° W,,,,,,,,,,,,,,,,,,,,,
48,"Naslund, L.C., J.R. Gerson, A.C. Brooks, D.M. Walters, E.S. Bernhardt. 2020. Contaminant Subsidies to Riparian Food Webs in Appalachian Streams Impacted by Mountaintop Removal Coal Mining. Environmental Science & Technology 54: 3951-3959.",Se,Se,"Trichoptera, chironomids",experimental,ugl,8.79,,,,,1,,,,,,,,ng_mg_dm,37.4,,,,,1,,,,37.60372° N,81.54888° W,,,,,,,,,,,,,,,,,,,,,
48,"Naslund, L.C., J.R. Gerson, A.C. Brooks, D.M. Walters, E.S. Bernhardt. 2020. Contaminant Subsidies to Riparian Food Webs in Appalachian Streams Impacted by Mountaintop Removal Coal Mining. Environmental Science & Technology 54: 3951-3959.",Se,Se,"Trichoptera, chironomids",experimental,ugl,19.3,,,,,1,,,,,,,,ng_mg_dm,4.94,,,,,1,,,,37.60372° N,81.54888° W,,,,,,,,,,,,,,,,,,,,,
48,"Naslund, L.C., J.R. Gerson, A.C. Brooks, D.M. Walters, E.S. Bernhardt. 2020. Contaminant Subsidies to Riparian Food Webs in Appalachian Streams Impacted by Mountaintop Removal Coal Mining. Environmental Science & Technology 54: 3951-3959.",Se,Se,"Trichoptera, chironomids",experimental,ugl,33.1,,,,,1,,,,,,,,ng_mg_dm,50.4,,,,,1,,,,37.60372° N,81.54888° W,,,,,,,,,,,,,,,,,,,,,
48,"Naslund, L.C., J.R. Gerson, A.C. Brooks, D.M. Walters, E.S. Bernhardt. 2020. Contaminant Subsidies to Riparian Food Webs in Appalachian Streams Impacted by Mountaintop Removal Coal Mining. Environmental Science & Technology 54: 3951-3959.",Se,Se,"Trichoptera, chironomids",experimental,ugl,29.6,,,,,1,,,,,,,,ng_mg_dm,95,,,,,1,,,,37.60372° N,81.54888° W,,,,,,,,,,,,,,,,,,,,,
