source,organism,units,Global,Africa,Australia,Eurasia,North America,South America
Doughty et al. 2016 PNAS,anadromous_fish,p_flux_kgy,5.60E+06,1.00E+05,1.00E+04,3.20E+06,2.30E+06,2.00E+04
Doughty et al. 2016 PNAS,seabirds,p_flux_kgy,6.30E+06,8.90E+05,7.90E+05,2.40E+06,9.90E+05,8.90E+05
