emerge_s,temp_10
0.02377897528013002,9.5
0.17874518860662042,9.8
0.12591224018475752,13
0.10896073903002312,12.8
0.3013243444123701,15.7
0.018860662047729022,11.7
0.012826789838337184,11.399999999999999
0.00957120862201694,11.399999999999999
0.006836027713625867,11.7
0.008164742109314858,9.7
1,20.599999999999998
0.12177743563424838,10.5
0.09162090496963445,14.2
0.07773329911898037,14.2
0.06948250791206899,14.2
0.07528868360277129,14.100000000000001
0.05253613891027279,14.100000000000001
0.07528782824394814,14.100000000000001
0.034649585389900366,14.899999999999999
0.034649585389900366,12.2
0.028874654491583635,14.899999999999999
0.04619944718653365,13.2
0.07507410167811718,14.899999999999999
0.028874654491583635,14
0.1212735488646512,14.899999999999999
0.040424516288216944,14.899999999999999
0.1270484797629679,14.899999999999999
0.8893393583407757,15
0.6987666386963237,14.7
0.03934650585920786,9.5
0.02771362586605081,11.8
8.662396347475091e-4,17
0.0015592313425455162,17
0.010394875616970108,17
0.03004119053304361,0
0.024479932077964606,0
0.006288899748266915,6.8
0.005249412186569905,6.8
0.04215122062681378,5.6
0.03295175570579525,5.6
0.024479932077964606,0
0.017307467902255232,0
0.005197437808485054,6.7
0.008662396347475091,6.7
0.0063524239881484,6.7
0.017902285784781855,6.4
0.009239889437306763,6.4
0.015592313425455162,6.4
0.0063524239881484,6.4
0.007507410167811747,6.4
0.005197437808485054,6.4
0.013928663074159615,7.9
0.018444957659738265,7.9
0.013462492515610302,7.9
0.018139594559917885,7.9
0.009701883909172102,8
0.011549861796633453,8
0.01264709866731363,8
0.016689550296135343,8
0.01206960557748196,8
0.0095286359822226,7.9
0.06499016337353519,2.5
0.062005433055226544,15.399999999999999
0.028533933568582946,15.399999999999999
0.05337768629314129,15.399999999999999
0.008523798005915488,14.3
0.004365847759127445,14.3
0.008367874871660937,14.3
0.159096741082884,13.399999999999999
0.5653921820203573,13.899999999999999
0.1531092293217004,13.100000000000001
0.23522367633222116,13.399999999999999
0.1839021469506458,13.3
0.17620391754340936,13.2
0.10948592934736111,13.100000000000001
0.45077409973483873,13.100000000000001
0.09323411170986216,13.399999999999999
0.012830382345393895,13.100000000000001
0.0947566504148489,2.8000000000000003
0.06623043366692324,2.8000000000000003
0.06808656231288994,3.4000000000000004
0.033778119921307,2.8000000000000003
0.06271234282781626,15.399999999999999
0.008600347848772562,16.6
0.008377099193396631,15.8
0.010842243323924389,15.100000000000001
0.010013115499101876,20.5
3.0023094688221713e-4,0.6000000000000001
0.013210161662817554,2.3000000000000003
0.017582755966127794,2.3000000000000003
0.034372594303310244,0.7000000000000002
0.03999999999999986,2.4000000000000004
0.02571576729020439,14
0.06882562644613868,14
0.03008738998023015,13.2
0.05331993698415834,13.2
0.03242494226327945,5.5
0.17296689761354858,6.2
0.0658814472671283,8.7
0.02478744333247798,25.9
0.03499615088529638,25.9
0.02998545890000856,28.4
0.02943460781797965,28.4
0.034372594303310244,8.2
0.006466512702078523,13
0.09176289453425711,13.3
0.06281755196304835,13.3
0.03063895304080062,13.3
0.009930715935334873,13.3
0.0014893546786758837,6.1
0.004990117789235484,6.1
0.0025600268672238053,6.1
0.0969976905311776,12.2
0.08450945171499408,12.2
0.017021640578222568,12.2
0.06509280643229816,14
0.07236335642802137,14
0.27950665547852943,11.5
0.3014513928921331,11.5
0.18479778874613495,11.5
0.05839032631288032,14
0.05356825901278571,14
0.025196023509355882,14
0.047995450695910095,14
0.029105651727516304,16.5
0.032224114412607335,16.6
0.34949961508852934,6.6000000000000005
0.5712086220169361,7.2
0.06672932653004968,15.399999999999999
0.06655030367220192,15.399999999999999
0.12608984123384728,15.2
0.07164379272451722,15
0.09809875116970623,14.899999999999999
0.035515825024647875,15
0.14352578906851401,14.100000000000001
0.021340679641639635,19.099999999999998
0.016075675141644274,19.2
0.010197372980247676,19.4
0.24526558891454964,11.7
0.07659738260200123,11.7
0.017255493524170384,10.7
0.18401239814396397,14.100000000000001
0.05264427006905509,14.2
0.09831819854384215,14.399999999999999
0.012848066262575055,4.4
0.024324008943710052,4.4
0.011850158203345925,4.4
0.0718129981998378,4.4
0.08787827846586503,4.4
0.15345954873332945,4.4
0.0427344886475437,11.100000000000001
0.031184626850910325,11.7
0.07738407403744393,9.100000000000001
0.15021750252701432,11.3
0.3562728119098538,11.3
0.2941692050293558,11.399999999999999
0.09827559661277904,21.599999999999998
0.21806774441878357,21.5
