SiteID,LON,LAT,ACSP,NISP,AISP_mgAFDM_m2_y,bio1_mat,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12_precip,bio13,bio14,bio15,bio16,bio17,bio18,bio19,clb
Grubaugh_EtAl_1997_BallCreek1_S1,-83.46053435,35.04335877,9996.596859,0,9996.597,100,122,39,6875,250,-59,309,21,151,185,8,1970,201,137,9,542,445,481,513,C
Grubaugh_EtAl_1997_BallCreek2_M2,-83.40223334,35.05821227,4999.034136,0,4999.034,127,142,43,6935,287,-43,330,49,135,214,35,1691,178,114,11,483,375,399,460,C
Grubaugh_EtAl_1997_BallCreek2_S2,-83.45504508,35.04724576,7998.42559,480,7518.426,118,137,42,6885,275,-49,324,40,170,204,26,1792,187,122,11,507,400,426,483,V
Grubaugh_EtAl_1997_BallCreek3_M3,-83.40000806,35.0600064,13003.84029,0,13003.84,127,142,43,6935,287,-43,330,49,135,214,35,1691,178,114,11,483,375,399,460,V
Grubaugh_EtAl_1997_BallCreek3_S3,-83.42497671,35.06039378,4999.034136,200,4799.034,118,137,42,6885,275,-49,324,40,170,204,26,1792,187,122,11,507,400,426,483,C
Grubaugh_EtAl_1997_CoweetaCreek_M5,-83.38667011,35.08384644,7002.342396,1820,5182.342,127,143,43,6970,288,-44,332,48,135,214,34,1642,174,110,11,469,363,391,444,C
Grubaugh_EtAl_1997_LittleTennesseeRiver_R1,-83.3827069,35.09828459,22004.45034,0,22004.45,127,143,43,6970,288,-44,332,48,135,214,34,1642,174,110,11,469,363,391,444,C
Grubaugh_EtAl_1997_LittleTennesseeRiver_R2,-83.39582205,35.23694671,154044.9928,3080,150964.993,128,145,43,7063,292,-45,337,48,135,216,33,1518,161,99,11,432,330,373,404,C
Grubaugh_Wallace_1995_MiddleOconeeRiver,-83.43212401,33.95012244,181861.375,39300,142561.375,163,129,39,7227,324,-2,326,82,168,254,67,1257,138,85,15,379,263,303,343,C
Hall_EtAl_2001_BearBrook,-71.72589483,43.94642255,4171.370843,17.8,4153.571,46,120,30,9612,244,-155,399,166,-70,166,-83,1179,115,78,12,329,241,329,257,C
Hall_EtAl_2001_HubbardBrook,-71.6969435,43.9396676,2998.8975,10.5,2988.397,58,131,31,9771,265,-152,417,180,-60,180,-74,1044,102,68,13,295,211,295,226,V
Huryn_Wallace_1987_UpperBallCreek,-83.46053435,35.04335877,7413.070463,3360,4053.07,100,122,39,6875,250,-59,309,21,151,185,8,1970,201,137,9,542,445,481,513,V
Johnson_EtAl_2013_AshRun,-81.10858865,38.2964542,19168.0479,0,19168.048,111,129,36,8049,283,-68,351,210,2,210,2,1191,133,80,15,352,257,352,257,C
Johnson_EtAl_2013_BucklesRun,-81.19803335,38.23302163,65643.90273,0,65643.903,117,130,36,8089,290,-62,352,217,8,217,8,1146,129,77,15,339,247,339,247,C
Johnson_EtAl_2013_ChenowethRun,-85.56747045,38.2051262,5597.078253,856.8,4740.278,128,124,34,8630,309,-52,361,126,192,236,13,1167,122,70,17,349,243,310,258,C
Johnson_EtAl_2013_GooseCreek,-85.56396913,38.27706234,15459.82496,12022.2,3437.625,127,124,34,8649,308,-53,361,124,191,236,12,1160,123,70,17,350,242,309,253,C
Johnson_EtAl_2013_HardwayRun,-81.04902083,38.30569435,17925.86642,0,17925.866,112,131,37,8049,284,-67,351,211,3,211,3,1186,132,79,15,350,255,350,255,C
Johnson_EtAl_2013_HartsRun,-85.62305177,37.87274083,10509.13334,463.5,10045.633,132,128,35,8480,312,-51,363,130,194,237,17,1228,124,73,15,356,257,318,290,C
Johnson_EtAl_2013_JackRun,-81.12849973,38.28868722,27501.61475,0,27501.615,115,130,37,8062,288,-63,351,215,6,215,6,1160,130,77,15,343,249,343,249,C
Johnson_EtAl_2013_LaurelRun,-81.11442631,38.30118838,21785.5024,0,21785.502,111,129,36,8049,283,-68,351,210,2,210,2,1191,133,80,15,352,257,352,257,C
Johnson_EtAl_2013_LittleGooseCreek,-85.61204638,38.31294303,11293.69631,2952.9,8340.796,128,123,34,8657,308,-52,360,124,191,236,12,1153,123,69,17,348,240,306,254,V
Johnson_EtAl_2013_NeilRun,-81.08798734,38.29831224,21015.17343,0,21015.173,111,129,36,8049,283,-68,351,210,2,210,2,1191,133,80,15,352,257,352,257,C
Johnson_EtAl_2013_PetersRun,-81.04928809,38.30150052,14214.24628,0,14214.246,112,131,37,8049,284,-67,351,211,3,211,3,1186,132,79,15,350,255,350,255,C
Johnson_EtAl_2013_SinkingCreek,-86.29538281,37.81968322,19870.66892,4104.9,15765.769,129,122,33,8660,308,-53,361,127,192,237,13,1211,119,73,14,350,254,310,288,C
Johnson_EtAl_2013_SugarcampRun,-81.03216479,38.3196376,52522.66134,0,52522.661,109,130,37,8033,281,-70,351,209,1,209,1,1201,134,80,15,355,257,355,257,C
Johnson_EtAl_2013_WilsonCreek,-85.75788873,38.12016015,10488.13608,1824.3,8663.836,132,121,33,8689,312,-48,360,130,196,241,16,1149,116,68,15,336,240,302,266,C
Junker_Cross_2014_WestBlacktailDeerCreek,-112.2592125,44.7670173,7600.733236,0,7600.733,9,147,37,8393,227,-166,393,45,-97,117,-97,448,58,27,23,147,94,131,94,C
Kedzierski_Smock_2001_HigginsCreek_Logged3yrsPrevious,-77.12802784,37.03493985,93995.29436,5670,88325.294,144,127,37,7867,315,-28,343,236,98,243,39,1145,124,78,14,340,244,339,265,C
Kedzierski_Smock_2001_HigginsCreek_Unlogged,-77.12802784,37.03493985,37049.12449,2970,34079.124,144,127,37,7867,315,-28,343,236,98,243,39,1145,124,78,14,340,244,339,265,C
Leland_EtAl_1986_ConvictCreek,-118.833438,37.61433641,4064.312984,0,4064.313,56,143,45,6115,236,-81,317,-14,139,139,-14,419,72,12,61,191,37,37,191,C
McCutchan_Lewis_2002_Alpine,-105.6393448,40.23463021,6076,5850,226,-22,126,37,7400,163,-170,333,-45,-11,77,-108,776,83,46,16,234,161,198,183,C
McCutchan_Lewis_2002_Foothills,-105.4489505,40.21203673,10107.16644,3330,6777.166,46,156,42,7287,246,-118,364,119,-43,143,-43,444,57,19,36,162,61,157,61,V
McCutchan_Lewis_2002_Montane,-105.5230812,40.2178168,6574.803693,4320,2254.804,34,157,42,7380,236,-133,369,108,-56,132,-56,478,57,25,29,161,80,158,80,C
McCutchan_Lewis_2002_Subalpine,-105.6385501,40.2150526,3659.200647,3060,599.201,-22,126,37,7400,163,-170,333,-45,-11,77,-108,776,83,46,16,234,161,198,183,V
Miller_1985_Site1,-79.51640382,37.90982415,1647.476496,396,1251.476,108,129,37,7859,281,-64,345,188,3,207,3,1105,107,76,11,301,235,290,235,C
Miller_1985_Site2,-79.50020814,37.92615538,11338.96156,8914.5,2424.462,104,128,37,7837,276,-68,344,184,-1,202,-1,1119,108,78,10,305,239,294,239,C
Miller_1985_Site3,-79.48931009,37.94009978,8664.591003,6573.6,2090.991,111,132,38,7869,286,-61,347,192,7,210,7,1082,105,74,11,297,229,286,229,V
Miller_1985_Site4,-79.47583097,37.95797868,5039.186806,2628.9,2410.287,111,132,38,7869,286,-61,347,192,7,210,7,1082,105,74,11,297,229,286,229,C
Miller_1985_SitePB,-79.49599595,37.93901067,3466.844177,1094.4,2372.444,111,132,38,7869,286,-61,347,192,7,210,7,1082,105,74,11,297,229,286,229,C
Shieh_EtAl_2002_CacheLaPudreRiver_Site1,-105.0809351,40.59869145,26238.94404,684,25554.944,91,159,39,8437,301,-102,403,132,-15,202,-15,367,65,9,54,157,30,126,30,C
Shieh_EtAl_2002_CacheLaPudreRiver_Site2,-105.0590078,40.58299826,61821.09944,2162,59659.099,91,159,39,8439,301,-102,403,133,-15,203,-15,369,65,10,54,159,31,126,31,C
Shieh_EtAl_2002_CacheLaPudreRiver_Site3,-105.0312241,40.57192518,51072.42488,5738,45334.425,92,160,39,8530,304,-103,407,135,-15,205,-15,363,64,9,53,156,30,125,30,C
Shieh_EtAl_2003_CacheLaPudreRiver_Site4,-105.0082853,40.54995485,48533.03602,6975.2,41557.836,92,160,39,8530,304,-103,407,135,-15,205,-15,363,64,9,53,156,30,125,30,C
Shieh_EtAl_2003_CacheLaPudreRiver_Site5,-104.9948941,40.53305787,52156.28652,3053.4,49102.887,93,161,39,8607,307,-104,411,137,-15,207,-15,358,63,9,55,155,30,124,30,C
Shieh_EtAl_2003_CacheLaPudreRiver_Site6,-104.9810124,40.51800222,32273.44388,3284.11,28989.334,93,161,39,8607,307,-104,411,137,-15,207,-15,358,63,9,55,155,30,124,30,C
