A1,A1PRIME,A2,A3,A4,A5,ACCO11,ALDS16,ALEX16,ALINOR,ALKA11,ALOR16,ALTL16,ANDEF,ANSUM,A_WS,CA16,CATSUM,CL16,CO316,COLVAL,COND11,CONIS,CONVAL,COUNTY1,COUNTY2,COUNTY3,COUNTY4,DATSMP,DICE11,DICI11,DICVAL,DOC11,DO_IS,DRPCDE,ELEV,FE16,FTL16,GRADE,H16,HCO316,K16,L2,LABNAM,LAT_STD,LON_STD,MAP1,MAP2,MAP3,MAP4,MAP5,MAP6,MG16,MN16,NA16,NH416,NO316,NODE,NOTSAM,OH16,ORGION,PHAC11,PHAL11,PHEQ11,PHSTVL,PH_CLO,PH_R,PTD16,PTL16,QUAD,RCH_HW,RCH_ID,RCH_LN,SAMCOD,SAMRN,SHRE75,SIO216,SIT_CLS,SO416,SOBC,STATE1,STATE2,STRA250,STRA75,STRATUM,STRMDP,STRMNAM,STRMWD,STRM_ID,SUB_ID,TIMSMP,TMPSTR,TURVAL,W,WC 
0.58,0.58,0,0.02,1.3467,0.1295,139.55,0.231635905,0.20198651,0,330.6,0.54480765,1.945741606,-2.633391027,610.5747268,0.0518,269.959,607.9413358,27.16623,0.094269815,10,66.75,48,67.55,CENTRE, , , ,8-May-86,3.83,4.625,6.535,0.6185,9.3,0,384.0293,0.161174785,1.76344,6.862099253,0.316227766,317.9463842,25.10974,1.1104,NYSDOH,40.89722222,-77.93305556,"BEAR KNOB, PA 1971", , , , , ,194.1336,0.009101169,117.885,0.537768,3.32278,U, ,0.031622777,5.966305876,6.66,6.66,7.07,6.5,.,6.55,0.148511655,.,HARRISBURG 1969,1,2C036001,1.2713,DA,2,1,141.2189601, ,260.25,607.08734,PA, ,1,1,1,0.05,NO NAME,0.5,2C036001U,2CN,10:05,9,1.95,145.2608098,1.316426089
0.94,0.94,48.01,0,2.2013,129.0471,.,.,.,.,.,.,.,.,.,126.7805,.,.,.,.,.,.,.,.,HARRISON,TAYLOR,BARBOUR, ,25-Apr-86,.,.,.,.,.,2,294.1176,.,.,0.09018759,.,.,.,3.3795, ,39.28527778,-80.25222222,"ROSEMONT, WV 1976","CLARKSBURG, WV 1976","GRAFTON, WV 1976","BROWNTOWN, WV 1976","PHILIPPI, WV 1977", ,.,.,.,.,.,L,HIGH CONDUCTIVITY,.,.,.,.,.,.,.,.,.,.,CLARKSBURG 1965,18,2C040003,3.4117,NS,1,65,.,C3A3,.,.,WV, ,3,4,1,.,SIMPSON CREEK,.,2C040003L,2CN,.,.,.,145.2608098,2.133518144
0.94,0.94,48.01,0,2.2013,129.0471,.,.,.,.,.,.,.,.,.,124.3338,.,.,.,.,.,.,530,.,HARRISON,TAYLOR,BARBOUR, ,25-Apr-86,.,.,.,.,.,2,297.1655,.,.,0.09018759,.,.,.,3.3795, ,39.27861111,-80.22888889,"ROSEMONT, WV 1976","CLARKSBURG, WV 1976","GRAFTON, WV 1976","BROWNTOWN, WV 1976","PHILIPPI, WV 1977", ,.,.,.,.,.,U,HIGH CONDUCTIVITY,.,.,.,.,.,.,.,.,.,.,CLARKSBURG 1965,18,2C040003,3.4117,NS,1,64,.,C3A3,.,.,WV, ,3,4,1,0.3,SIMPSON CREEK,3.5,2C040003U,2CN,.,10.4,.,145.2608098,2.133518144
0.98,0.98,0,0.07,2.4344,0.1813,47.7,0.604106441,0.222370469,0,141.5,0.674523757,5.262767771,7.93467854,1171.144123,2.5382,643.71,1179.078802,60.9336,0.095257118,3,138.2,92,136.4,BARBOUR, , , ,24-Apr-86,1.26,1.34,2.086,1.21,10.5,0,426.6992,0.107449857,2.31616,4.074171952,0.131825674,133.9302483,31.7068,2.7679,NYSDOH,39.05777778,-80.09833333,"AUDRA, WV 1977", , , , , ,445.8492,7.735993302,56.55,1.130976,30.647,L, ,0.075857758,11.73790463,6.78,6.85,7.08,6.88,.,6.86,0.090398399,.,CLARKSBURG 1965,1,2C040006,2.9289,R,1,3,68.90353505, ,943.146,1177.816,WV, ,1,2,1,0.15,SHOALS RUN,2,2C040006L,2CN,11:18,10.1,2.2,145.2608098,2.22430615
0.98,0.98,0,0.07,2.4344,0.1813,46,0.681936106,0.329849529,0.352086576,201.9,0.329849529,2.631383886,46.57010426,2767.921851,2.538,1521.95,2814.491955,78.4238,0.141483265,10,295.9,223,288,BARBOUR, , , ,12-May-86,1.73,1.76,2.619,1.02,9,0,426.6992,0.071633238,3.00048,4.074171952,0.114815362,173.2552115,54.9755,2.7679,NYSDOH,39.05777778,-80.09833333,"AUDRA, WV 1977", , , , , ,1159.866,11.95893553,76.56,1.02564,14.61378,L, ,0.087096359,9.983553997,7.02,7.01,7.29,6.94,.,6.85,0,.,CLARKSBURG 1965,1,2C040006,2.9289,R,2,3,72.3986419, ,2498.4,2813.3515,WV, ,1,2,1,0.15,SHOALS RUN,2,2C040006L,2CN,8:35,12,0.9,145.2608098,2.22430615
0.98,0.98,0,0.07,2.4344,0.1813,61.9,0.689348455,0.185308724,0.048180268,95.7,0.641168186,5.225706026,8.064812361,441.0260758,0.1813,206.586,449.0908882,104.377,0.023964692,15,54.4,33,54.4,BARBOUR, , , ,24-Apr-86,0.779,1.23,1.833,1.87,10.2,0,539.4697,1.378939828,1.68448,4.074171952,0.338844156,86.60701901,30.4283,2.7679,NYSDOH,39.04888889,-80.07222222,"AUDRA, WV 1977", , , , , ,132.4386,1.510793986,75.69,3.609144,31.7761,U, ,0.029512092,17.85634114,6.48,6.52,7.12,6.47,.,6.52,0.054884742,.,CLARKSBURG 1965,1,2C040006,2.9289,R,1,1,29.95805872, ,216.528,445.1429,WV, ,1,1,1,0.07,SHOALS RUN,1.9,2C040006U,2CN,10:10,10.7,5.1,145.2608098,2.22430615
0.98,0.98,0,0.07,2.4344,0.1813,111.05,0.361352013,0.126009933,0.027796309,139.75,0.333555704,9.617522793,-12.75125811,456.8441633,0.1813,203.093,444.0929052,102.1202,0.037663625,30,52.65,38,50.15,BARBOUR, , , ,12-May-86,1.265,1.605,3.2905,1.975,9.8,0,539.4697,1.772922636,1.8424,4.074171952,0.371535229,149.2462244,27.74345,2.7679,NYSDOH,39.04888889,-80.07222222,"AUDRA, WV 1977", , , , , ,137.3742,5.014743893,67.86,7.65072,8.90376,U, ,0.026915348,18.85896992,6.48,6.51,7.26,6.43,.,6.45,0.092012656,.,CLARKSBURG 1965,1,2C040006,2.9289,DA,2,1,25.88043406, ,194.667,436.07065,WV, ,1,1,1,0.07,SHOALS RUN,1.9,2C040006U,2CN,7:40,14,8.55,145.2608098,2.22430615
0.73,0.73,17.35,0,1.9423,44.6214,38.8,1.015491809,0.481802683,0.407679194,137.9,0.607812616,10.45141205,23.97950051,554.3667514,46.8272,387.224,578.3462519,51.3422,0.098008575,5,68.5,50,68.5,FAYETTE, , , ,1-May-86,1.44,1.46,1.67,0.798,9.5,0,387.0771,0,3.52688,1.56641604,0.107151931,112.0070374,18.10356,2.1403,NYSDOH,39.945,-79.58027778,"FORT NECESSITY, PA 1973","UNIONTOWN, PA 1973","SOUTH CONNELLSVILLE, PA 1973","BROWNFIELD, PA 1973", , ,137.3742,2.894171612,34.2345,1.30284,29.1953,L, ,0.09332543,7.800515195,6.98,7,7.23,6.97,.,6.98,0.032285142,.,CUMBERLAND 1969,26,2C041001,2.1564,R,1,29,68.73710139, ,358.104,576.93626,PA, ,3,4,1,0.3,DUNBAR CREEK,18,2C041001L,2CN,14:00,13.9,1.1,145.2608098,1.656881112
0.73,0.73,17.35,0,1.9423,44.6214,45.7,0.789415166,0.618931139,0.359498925,169.5,0.429916241,2.371951672,-25.56415329,654.1492961,46.8226,420.657,628.5851428,56.1379,0.174269519,5,74.3,51,76.1,FAYETTE, , , ,14-May-86,1.36,1.42,2.091,0.634,9.9,0,387.0771,0.107449857,3.6848,1.56641604,0.079432824,147.6395341,17.97571,2.1403,NYSDOH,39.945,-79.58027778,"FORT NECESSITY, PA 1973","UNIONTOWN, PA 1973","SOUTH CONNELLSVILLE, PA 1973","BROWNFIELD, PA 1973", , ,150.5358,1.856638392,38.367,0.9702,27.9049,L, ,0.125892541,6.199456832,6.99,6.95,7.34,7.1,.,7.04,0.077484342,.,CUMBERLAND 1969,26,2C041001,2.1564,R,2,29,74.22941216, ,418.482,627.53551,PA, ,3,4,1,0.3,DUNBAR CREEK,18,2C041001L,2CN,13:10,13,0.23,145.2608098,1.656881112
0.73,0.73,17.35,0,1.9423,44.6214,31.5,0.9006004,0.741234897,0.704173153,119.7,0.196427248,10.41435031,40.59881001,505.0013189,44.9321,355.787,545.6001289,49.6496,0.073687497,5,63.8,44,64.1,FAYETTE, , , ,1-May-86,1.22,1.28,1.483,0.815,9.6,0,420.6035,0,3.4216,1.56641604,0.123026877,96.68854832,18.33369,2.1403,NYSDOH,39.92888889,-79.58722222,"FORT NECESSITY, PA 1973","UNIONTOWN, PA 1973","SOUTH CONNELLSVILLE, PA 1973","BROWNFIELD, PA 1973", , ,134.0838,2.894171612,34.2345,3.038112,26.1306,U, ,0.081283052,7.955776326,6.94,6.96,7.28,6.91,.,6.92,0.148511655,.,CUMBERLAND 1969,26,2C041001,2.1564,R,1,29,63.07835697, ,328.956,542.43899,PA, ,3,4,1,0.5,DUNBAR CREEK,10,2C041001U,2CN,12:55,14,1.4,145.2608098,1.656881112
