index,site_id,lon,lat,notes,stream_width_m,basin_size_km2,figure_table,id,mass_type,mass_units,acsp,aisp,eph_sp,ple_sp,tri_sp,chi_sp,other_sp
85,Miller_1985_Site3,-79.48,37.94,"From article: ""Production estimates obtained by multiplying an assumed annual turnover ratio by average standing biomass are indicated by (t). All others were calculated using the size-frequency method.""",6.1,NA,"Tables 2,3,4,5",122,DM,g,9520,8160,580,290,6620,NA,NA
86,Miller_1985_Site4,-79.47,37.95,"From article: ""Production estimates obtained by multiplying an assumed annual turnover ratio by average standing biomass are indicated by (t). All others were calculated using the size-frequency method.""",5.6,NA,"Tables 2,3,4,5",123,DM,g,5540,3980,880,320,2240,NA,NA
87,Miller_1985_SitePB,-79.49,37.93,"From article: ""Production estimates obtained by multiplying an assumed annual turnover ratio by average standing biomass are indicated by (t). All others were calculated using the size-frequency method.""",2.9,NA,"Tables 2,3,4,5",124,DM,g,3810,1290,130,790,0,NA,NA
158,Anderson_Rosemond_2007_Forested,-67.655,-55.076,NA,NA,NA,NA,125,AFDM,mg,286.55555555555554,NA,NA,NA,NA,NA,NA
159,Anderson_Rosemond_2007_BeaverPond,-67.655,-55.076,Measures beaver impact.,NA,NA,NA,126,AFDM,mg,960.1111111111112,NA,NA,NA,NA,NA,NA
160,Anderson_Rosemond_2007_Downstream,-67.655,-55.076,Measures beaver impact.,NA,NA,NA,127,AFDM,mg,492.5555555555556,NA,NA,NA,NA,NA,NA
138,Lugthart_Wallace_1992_CoweetaCatchment53_Yr1,-83.46,35.035,Yr1: before pesticide,NA,NA,NA,128,AFDM,g,15544.444444444445,12600,344.44444444444446,1200,3255.5555555555557,NA,NA
139,Lugthart_Wallace_1992_CoweetaCatchment54_Yr1,-83.466,35.035,Yr2: after pesticide,NA,NA,NA,129,AFDM,g,12766.666666666668,10977.777777777777,700,2455.5555555555557,2055.5555555555557,NA,NA
140,Lugthart_Wallace_1992_CoweetaCatchment54_Yr2,-83.466,35.035,Yr2: after pesticide,NA,NA,NA,130,AFDM,g,4888.888888888889,2211.1111111111113,NA,NA,88.88888888888889,NA,NA
141,Lugthart_Wallace_1992_CoweetaCatchment55_Yr1,-83.457,35.049,Yr1: before pesticide,NA,NA,NA,131,AFDM,g,9844.444444444445,8455.555555555557,500,1855.5555555555557,1766.6666666666667,NA,NA
142,Lugthart_Wallace_1992_CoweetaCatchment55_Yr2,-83.457,35.049,Yr2: after pesticide,NA,NA,NA,132,AFDM,g,11222.222222222223,9400,122.22222222222223,1200,1900,NA,NA
97,Shieh_EtAl_2003_CacheLaPoudreRiver_Site4,-105,40.54,"Specific taxon production is available in Table 3 but only for ""first three dominant taxa"", and listed only by percentage of total production and thus can't be used. Data also available for Sites 1-3, but these correspond well with data from Shieh et al. 2002 also in this dataset, so not duplicated here. Data extracted from figure using WebPlot Digitizer (https://apps.automeris.io/wpd/).",NA,NA,Fig 1,133,AFDM,g,53777.77777777778,NA,NA,NA,NA,NA,NA
98,Shieh_EtAl_2003_CacheLaPoudreRiver_Site5,-104.99,40.53,"Specific taxon production is available in Table 3 but only for ""first three dominant taxa"", and listed only by percentage of total production and thus can't be used. Data also available for Sites 1-3, but these correspond well with data from Shieh et al. 2002 also in this dataset, so not duplicated here. Data extracted from figure using WebPlot Digitizer (https://apps.automeris.io/wpd/).",NA,NA,Fig 1,134,AFDM,g,58000,NA,NA,NA,NA,NA,NA
99,Shieh_EtAl_2003_CacheLaPoudreRiver_Site6,-104.98,40.51,"Specific taxon production is available in Table 3 but only for ""first three dominant taxa"", and listed only by percentage of total production and thus can't be used. Data also available for Sites 1-3, but these correspond well with data from Shieh et al. 2002 also in this dataset, so not duplicated here. Data extracted from figure using WebPlot Digitizer (https://apps.automeris.io/wpd/).",NA,NA,Fig 1,135,AFDM,g,35555.555555555555,NA,NA,NA,NA,NA,NA
26,Ely_Wallace_2010_BigHurricaneBranch_Disturbed,-83.43,35.06,Only lists total production and production by FFG. Coweeta LTER.,NA,59 ha,Table 2,136,AFDM,mg,11234.444444444445,NA,NA,NA,NA,NA,NA
27,Ely_Wallace_2010_HughWhiteCreek_Reference,-83.43,35.05,Only lists total production and production by FFG. Coweeta LTER.,NA,61 ha,Table 2,137,AFDM,mg,10306.666666666668,NA,NA,NA,NA,NA,NA
103,Stone_Wallace_1998_BigHurricaneBranch_CatchC7,-83.43,35.06,"Coweeta LTER. FFG by habitat and overall as well, but cannot parse species or order information from this. Assuming column names in table are in error (""Disturbed: Reference"" should be ""Disturbed: Depositional"" and ""Habitat-weighted: Depositional"" should be ""Habitat-weighted: Disturbed"".",NA,59.5 ha,Table 4,138,AFDM,mg,4847.777777777778,NA,NA,NA,NA,NA,NA
104,Stone_Wallace_1998_HughWhiteCreek_CatchC14,-83.43,35.05,"Coweeta LTER. FFG by habitat and overall as well, but cannot parse species or order information from this. Assuming column names in table are in error (""Disturbed: Reference"" should be ""Disturbed: Depositional"" and ""Habitat-weighted: Depositional"" should be ""Habitat-weighted: Disturbed"".",NA,61.1 ha,Table 4,139,AFDM,mg,9234.444444444445,NA,NA,NA,NA,NA,NA
100,Smock_EtAl_1992_BuzzardsBranch,-77.09,37.14,"Specific taxon production is available in Table 1 but broken up by small habitat sub portions in a way that can't be used here. Only used data from in channel, on surface (not floodplain nor hyporheic).",2.5,NA,Fig 4,140,DM,g,5600,NA,NA,NA,NA,NA,NA
101,Smock_EtAl_1992_ColliersCreek,-77.03,37.11,"Specific taxon production is available in Table 1 but broken up by small habitat sub portions in a way that can't be used here. Only used data from in channel, on surface (not floodplain nor hyporheic).",3,NA,Fig 5,141,DM,g,6200,NA,NA,NA,NA,NA,NA
89,Robinson_Minshall_1998_BirchCreek,-112.88,44.11,Lists width as 8-12 m. otherSp is only Coleoptera. Only insects were considered in this study.,10,NA,Table 3,142,DM,g,NA,45400,6671,1950,6010,NA,5440
90,Robinson_Minshall_1998_LittleLostRiver,-113.21,44,Lists width as 5-10 m. otherSp is only Coleoptera. Only insects were considered in this study.,7.5,NA,Table 3,143,DM,g,NA,74200,8770,2250,3730,NA,270
66,Johnson_EtAl_2013_HartsRun,-85.62,37.87,"Backed out production from available data on 5 most dominant taxa, along with % these 5 taxa contribute to overall production. Results of this approach are robust upon verification and match Fig. 4.",4.5,7.3,Table 2,144,AFDM,mg,12838.888888888889,NA,NA,NA,NA,NA,NA
74,Johnson_EtAl_2013_WilsonCreek,-85.75,38.12,"Backed out production from available data on 5 most dominant taxa, along with % these 5 taxa contribute to overall production. Results of this approach are robust upon verification and match Fig. 4.",4.8,14.8,Table 2,145,AFDM,mg,12804.444444444445,NA,NA,NA,NA,NA,NA
72,Johnson_EtAl_2013_SinkingCreek,-86.29,37.81,"Backed out production from available data on 5 most dominant taxa, along with % these 5 taxa contribute to overall production. Results of this approach are robust upon verification and match Fig. 4.",5.6,5.3,Table 2,146,AFDM,mg,24260,NA,NA,NA,NA,NA,NA
69,Johnson_EtAl_2013_LittleGooseCreek,-85.61,38.31,"Backed out production from available data on 5 most dominant taxa, along with % these 5 taxa contribute to overall production. Results of this approach are robust upon verification and match Fig. 4.",6.3,15,Table 2,147,AFDM,mg,13784.444444444445,NA,NA,NA,NA,NA,NA
64,Johnson_EtAl_2013_GooseCreek,-85.56,38.27,"Backed out production from available data on 5 most dominant taxa, along with % these 5 taxa contribute to overall production. Results of this approach are robust upon verification and match Fig. 4.",5.9,3.1,Table 2,148,AFDM,mg,18874.444444444445,NA,NA,NA,NA,NA,NA
63,Johnson_EtAl_2013_ChenowethRun,-85.56,38.2,"Backed out production from available data on 5 most dominant taxa, along with % these 5 taxa contribute to overall production. Results of this approach are robust upon verification and match Fig. 4.",3.6,4.3,Table 2,149,AFDM,mg,6833.333333333334,NA,NA,NA,NA,NA,NA
102,Stagliano_Whiles_2002_KingsCreek,-96.58,39.08,"Also includes Coleoptera, Megaloptera, and Odonata data, in addition to many non-insect groups. Chironomidae from summing subfamilies in Tables 4, 5.",1.6,134 ha,"Tables 3, 4, 5",150,AFDM,mg,21888.88888888889,18644,3406.3333333333335,499.3333333333333,1761.5555555555557,4888.888888888889,NA
152,Smock_EtAl_1985_CedarCreek_Upstream,-80.833,34.016,"Specific taxon production is available in Table 2 but only for ""major taxa"" only, which are ~half or less of total production and thus can't be used..",NA,NA,Table,151,DM,mg,4106,NA,NA,NA,NA,NA,NA
153,Smock_EtAl_1985_CedarCreek_Swamp,-80.829,33.973,"Specific taxon production is available in Table 2 but only for ""major taxa"" only, which are ~half or less of total production and thus can't be used..",NA,NA,Table 5,152,DM,mg,3093,NA,NA,NA,NA,NA,NA
154,Smock_EtAl_1985_CedarCreek_Downstream,-80.823,33.941,"Specific taxon production is available in Table 2 but only for ""major taxa"" only, which are ~half or less of total production and thus can't be used..",NA,NA,Table 5,153,DM,mg,1962,NA,NA,NA,NA,NA,NA
220,Tod_SchmidAraya_2009_Rover_Lambourn_Macrophyte,-1.35,51.425,Lists width as 3-6 m.,4.5,NA,Table 5,154,DM,g,64989.99999999999,31860,2300,6,15420,980,NA
221,Tod_SchmidAraya_2009_Rover_Lambourn_Gravel,-1.35,51.425,Lists width as 3-6 m.,4.5,NA,"Tables 1, 2",155,DM,g,22550,9950,1030,830,3040,360,NA
34,Fisher_1977_FortRiver,-72.51,42.35,NA,14,105,Table 2,156,DM,g,3320,NA,NA,NA,NA,NA,NA
129,Whiting_EtAl_2011_KingsCreek_Grass,-96.58,39.08,Only lists coordinates for general study area.,0.7,0.55000000000000004,Table 4,157,AFDM,mg,35404.444444444445,NA,NA,NA,NA,NA,NA
130,Whiting_EtAl_2011_KingsCreek_Shrub,-96.58,39.09,Only lists coordinates for general study area.,0.9,1.34,Table 4,158,AFDM,mg,10128.888888888889,NA,NA,NA,NA,NA,NA
128,Whiting_EtAl_2011_KingsCreek_GalleryForest,-96.61,39.11,Only lists coordinates for general study area.,1.6,10.59,Table 4,159,AFDM,mg,18916.666666666668,NA,NA,NA,NA,NA,NA
179,Hannesdottir_EtAl_2013_HengladalsaRiverTributary_SiteIS11,-21.3,64.05,Only lists coordinates for general study area. Data extracted from figure using WebPlot Digitizer (https://apps.automeris.io/wpd/).,NA,NA,Fig 16,160,DM,mg,2472,NA,NA,NA,NA,NA,NA
180,Hannesdottir_EtAl_2013_HengladalsaRiverTributary_SiteIS7,-21.3,64.05,Only lists coordinates for general study area. Data extracted from figure using WebPlot Digitizer (https://apps.automeris.io/wpd/),NA,NA,Fig 16,161,DM,mg,4680,NA,NA,NA,NA,NA,NA
181,Hannesdottir_EtAl_2013_HengladalsaRiverTributary_SiteIS9,-21.3,64.05,Only lists coordinates for general study area. Data extracted from figure using WebPlot Digitizer (https://apps.automeris.io/wpd/),NA,NA,Fig 16,162,DM,mg,2280,NA,NA,NA,NA,NA,NA
182,Hannesdottir_EtAl_2013_HengladalsaRiverTributary_SiteIS6,-21.3,64.05,Only lists coordinates for general study area. Data extracted from figure using WebPlot Digitizer (https://apps.automeris.io/wpd/),NA,NA,Fig 16,163,DM,mg,13817,NA,NA,NA,NA,NA,NA
183,Hannesdottir_EtAl_2013_HengladalsaRiverTributary_SiteIS1,-21.3,64.05,Only lists coordinates for general study area. Data extracted from figure using WebPlot Digitizer (https://apps.automeris.io/wpd/),NA,NA,Fig 16,164,DM,mg,16908,NA,NA,NA,NA,NA,NA
184,Hannesdottir_EtAl_2013_HengladalsaRiverTributary_SiteIS5,-21.3,64.05,Only lists coordinates for general study area. Data extracted from figure using WebPlot Digitizer (https://apps.automeris.io/wpd/),NA,NA,Fig 16,165,DM,mg,29526,NA,NA,NA,NA,NA,NA
133,Edwards_EtAl_1989_StClaire_MainChannel,-82.508,42.674,"Width is probably a lower bound. Text states ""The width of the SCDRS ranges from 250 m in the Upper St. Clair River to 3 000 m in the lower Detroit River.""",250,579000,Table 3,166,AFDM,g,8222.222222222223,NA,NA,NA,NA,NA,NA
134,Edwards_EtAl_1989_Detroit_MainChannel,-83.084,42.307,"Width is probably an upper bound. Text states ""The width of the SCDRS ranges from 250 m in the Upper St. Clair River to 3 000 m in the lower Detroit River.""",3000,598000,Table 3,167,AFDM,g,6000,NA,NA,NA,NA,NA,NA
135,Edwards_EtAl_1989_StLawrence_MainChannel,-75.889,44.366,NA,NA,766000,Table 3,168,AFDM,g,14888.888888888889,NA,NA,NA,NA,NA,NA
91,Shieh_EtAl_2002_CacheLaPoudreRiver_Site1,-105.08,40.59,NA,NA,NA,Table 4,169,AFDM,mg,28902.222222222223,NA,NA,NA,NA,NA,NA
92,Shieh_EtAl_2002_CacheLaPoudreRiver_Site2,-105.05,40.58,NA,NA,NA,Table 4,170,AFDM,mg,68547.77777777778,NA,NA,NA,NA,NA,NA
93,Shieh_EtAl_2002_CacheLaPoudreRiver_Site3,-105.03,40.57,NA,NA,NA,Table 4,171,AFDM,mg,56598.88888888889,NA,NA,NA,NA,NA,NA
