"","BAS_ID","BAS_Class","BA_km2","mnRSSA_pc","sdRSSA_pc"
"1",3000000010,"C",66.1889,0.43703682227948,0.113242545148628
"2",3000000020,"C",441.484,0.58015957722447,0.121668078489477
"3",3000000030,"C",170.206,0.48615305816995,0.113953333995681
"4",3000000040,"C",578.387,0.6174624971365,0.125255210157184
"5",3000000050,"C",251.776,0.58660470497209,0.131550790106431
"6",3000000060,"C",203.347,0.52710215204615,0.121089702952862
"7",3000000070,"C",281.28,0.55084364143004,0.121917976583814
"8",3000000080,"C",5.57939,0.41606895063131,0.134689245329112
"9",3000000090,"C",453.448,0.6153282381129,0.12868301608165
"10",3000000100,"C",34.7548,0.47214235275057,0.130178614518431
"11",3000000110,"C",3137.12,0.75682621953475,0.121450263572611
"12",3000000120,"C",55.4454,0.49375027548575,0.130107523978591
"13",3000000130,"C",1495.15,0.65353978526259,0.116716155462222
"14",3000000140,"C",20.7594,0.46568810637942,0.134662280161178
"15",3000000150,"C",5098.59,0.74835605676552,0.110837340788356
"16",3000000160,"C",138.727,0.53084690478094,0.127214065056644
"17",3000000170,"C",351.89,0.58434768890978,0.125978865523046
"18",3000000190,"C",280.203,0.56927706412727,0.126067993522257
"19",3000000200,"C",87.811,0.5246497095096,0.131959796054559
"20",3000000210,"C",1275.69,0.66802241144455,0.122080091867775
"21",3000000220,"C",32.7953,0.48145475377463,0.133461518860203
"22",3000000230,"C",10022.5,0.87497277151993,0.116185642009828
"23",3000000240,"C",59.4197,0.50345774364525,0.131750822906479
"24",3000000250,"C",4948.5,0.68411884262723,0.101439557669578
"25",3000000270,"C",155.935,0.50377509774028,0.119209303905022
"26",3000000280,"C",119.854,0.48378277018944,0.117802150160152
"27",3000000290,"C",101.604,0.4756277301791,0.117867217208482
"28",3000000300,"C",112.631,0.46375474491635,0.113704376553801
"29",3000000310,"C",208.166,0.49340945168902,0.113070805374595
"30",3000000320,"C",103.002,0.45335786507073,0.112227231077993
"31",3000000330,"C",103.879,0.48048359572226,0.118787308343623
"32",3000000340,"C",176.763,0.48107995486013,0.112299691363411
"33",3000000350,"C",2649.42,0.59810418691787,0.097890539917853
"34",3000000360,"C",12.2854,0.37981522546451,0.115227547759175
"35",3000000370,"C",164.712,0.45421548702644,0.106907880328026
"36",3000000380,"C",94.2514,0.42759759062992,0.106898271747688
"37",3000000390,"C",232.813,0.45776157523196,0.103631935976759
"38",3000000400,"C",8.05159,0.35041493702267,0.110282090882541
"39",3000000410,"C",209.778,0.44321892777926,0.101569768398659
"40",3000000420,"C",72.3665,0.39548233689766,0.101683369423763
"41",3000000430,"C",152.693,0.41453130698888,0.098489147583047
"42",3000000460,"C",105.091,0.38350045427311,0.094942873332504
"43",3000000470,"C",298.497,0.41620982561371,0.091667081473131
"44",3000000480,"C",608.001,0.46803654629871,0.094324614598716
"45",3000000490,"C",155.535,0.41337974531345,0.098022199373946
"46",3000000500,"C",155.365,0.41353279205427,0.098069660491903
"47",3000000510,"C",83.7159,0.38459025643954,0.097473246189931
"48",3000000520,"C",8057.25,0.66413925353962,0.090197476905411
"49",3000000530,"C",8.96664,0.3344130274515,0.104379170191818
"50",3000000560,"C",2494.72,0.58852762321048,0.097209024236431
"51",3000000580,"C",201.007,0.42022314012886,0.09683199151328
"52",3000000600,"C",3806.1,0.54920229629695,0.084738052108628
"53",3000000620,"C",3512.01,0.58393217764222,0.091337890057513
"54",3000000630,"C",74.6935,0.40430788798413,0.103587961563593
