INDEX,SiteID,Production,Biomass,Density,Discharge,ChannelWidth,WaterTemperature,pH,Conductivity,CPOM,Longitude,Latitude,ElevationCatch,Slope,StreamOrder,AreaWater,SedimentAverage,SedimentHierarchical,Bioclimate1,Bioclimate12,ESA_LandCover,EcoReg_DomainNo,EcoReg_Domain,EcoReg_DivisionNo,EcoReg_Division,EcoReg_ProvinceNo,EcoReg_Province
89,Robinson_Minshall_1998_BirchCreek,10.629,8.54,10.392,NA,3.314,NA,2.175,NA,5.697,2.094,3.787,7.499,0.693,4,NA,NA,NA,3.195,5.533,120,300,DRY,M330,TEMPERATE_STEPPE_REGIME_MOUNTAINS,M331,FOREST-ALPINE_MEADOWS
90,Robinson_Minshall_1998_LittleLostRiver,11.12,7.951,10.435,NA,3.114,NA,2.079,NA,4.564,2.053,3.784,7.44,0.693,4,NA,NA,NA,3.219,5.472,120,300,DRY,M330,TEMPERATE_STEPPE_REGIME_MOUNTAINS,M331,FOREST-ALPINE_MEADOWS
91,Shieh_EtAl_2002_CacheLaPudreRiver_Site1,10.175,7.859,10.315,NA,NA,NA,2.067,5.737,5.737,2.768,3.704,7.327,NA,6,NA,NA,NA,3.371,5.905,190,300,DRY,M330,TEMPERATE_STEPPE_REGIME_MOUNTAINS,M331,FOREST-ALPINE_MEADOWS
92,Shieh_EtAl_2002_CacheLaPudreRiver_Site2,11.032,9.39,11.134,NA,NA,NA,2.053,6.131,6.131,2.769,3.703,7.327,NA,6,NA,NA,NA,3.371,5.911,190,300,DRY,M330,TEMPERATE_STEPPE_REGIME_MOUNTAINS,M331,FOREST-ALPINE_MEADOWS
93,Shieh_EtAl_2002_CacheLaPudreRiver_Site3,10.841,9.358,10.772,NA,NA,NA,2.072,7.44,7.456,2.771,3.703,7.311,NA,6,NA,NA,NA,3.374,5.894,190,300,DRY,M330,TEMPERATE_STEPPE_REGIME_MOUNTAINS,M331,FOREST-ALPINE_MEADOWS
97,Shieh_EtAl_2003_CacheLaPudreRiver_Site4,10.79,9.731,10.557,NA,NA,NA,2.088,NA,7.2,2.773,3.702,7.299,NA,6,NA,NA,NA,3.378,5.881,130,300,DRY,M330,TEMPERATE_STEPPE_REGIME_MOUNTAINS,M331,FOREST-ALPINE_MEADOWS
98,Shieh_EtAl_2003_CacheLaPudreRiver_Site5,10.862,9.824,10.884,NA,NA,NA,2.096,NA,7.279,2.773,3.702,7.299,NA,6,NA,NA,NA,3.378,5.881,190,300,DRY,M330,TEMPERATE_STEPPE_REGIME_MOUNTAINS,M331,FOREST-ALPINE_MEADOWS
99,Shieh_EtAl_2003_CacheLaPudreRiver_Site6,10.382,9.742,10.602,NA,NA,NA,2.099,NA,7.415,2.774,3.702,7.299,NA,6,NA,NA,NA,3.378,5.881,130,300,DRY,M330,TEMPERATE_STEPPE_REGIME_MOUNTAINS,M331,FOREST-ALPINE_MEADOWS
100,Smock_EtAl_1992_BuzzardsBranch,8.536,7.455,NA,NA,3.219,2.674,1.723,1.714,NA,3.782,3.615,3.689,-2.526,1,NA,NA,NA,3.535,7.038,70,200,HUMID_TEMPERATE,230,SUBTROPICAL,231,OCEANIC_MIXED_CONSTANTLY_HUMID_FORESTS
101,Smock_EtAl_1992_ColliersCreek,8.638,6.909,NA,NA,NA,2.526,1.723,1.677,NA,3.784,3.614,3.638,-3.507,1,NA,NA,NA,3.538,7.041,130,200,HUMID_TEMPERATE,230,SUBTROPICAL,231,OCEANIC_MIXED_CONSTANTLY_HUMID_FORESTS
102,Stagliano_Whiles_2002_KingsCreek,NA,NA,10.079,2.639,0.47,2.632,2.104,6.292,4.985,3.195,3.666,6.035,1.335,1,0.293,5.496,5.792,3.463,6.774,130,300,DRY,330,TEMPERATE_STEPPE,332,STEPPES_OF_MODERATELY_CONTINENTAL_CLIMATE
103,Stone_Wallace_1998_BigHurricaneBranch_CatchC7,9.025,7.265,10.621,2.874,NA,2.442,NA,NA,4.236,3.626,3.557,6.743,NA,2,-0.519,NA,NA,3.459,7.491,60,200,HUMID_TEMPERATE,M230,SUBTROPICAL_REGIME_MOUNTAINS,M231,FOREST-MEADOW_OF_EASTERN_OCEANIC_(MONSOON_CLIMATE)
104,Stone_Wallace_1998_HughWhiteCreek_CatchC14,8.381,6.582,9.562,2.944,NA,2.407,NA,NA,4.025,3.626,3.557,6.743,NA,2,-0.493,NA,NA,3.459,7.491,60,200,HUMID_TEMPERATE,M230,SUBTROPICAL_REGIME_MOUNTAINS,M231,FOREST-MEADOW_OF_EASTERN_OCEANIC_(MONSOON_CLIMATE)
105,Vandermyde_Whiles_2015_K02A_Closed,9.335,7.182,9.288,4.5,-0.916,2.534,NA,NA,4.076,3.196,3.666,5.961,NA,1,NA,5.139,5.139,3.466,6.767,130,300,DRY,330,TEMPERATE_STEPPE,332,STEPPES_OF_MODERATELY_CONTINENTAL_CLIMATE
106,Vandermyde_Whiles_2015_K02A_Open,9.323,6.82,9.455,4.5,0.956,2.534,NA,NA,3.848,3.196,3.666,5.961,NA,1,NA,5.363,5.363,3.466,6.767,130,300,DRY,330,TEMPERATE_STEPPE,332,STEPPES_OF_MODERATELY_CONTINENTAL_CLIMATE
107,Vandermyde_Whiles_2015_K02A_Removal,9.366,7.07,9.769,4.5,1.099,2.534,NA,NA,3.807,3.196,3.666,5.961,NA,1,NA,5.034,5.034,3.466,6.767,130,300,DRY,330,TEMPERATE_STEPPE,332,STEPPES_OF_MODERATELY_CONTINENTAL_CLIMATE
108,Vandermyde_Whiles_2015_N04D_Closed,9.209,6.987,9.382,4.5,0.336,2.646,NA,NA,NA,3.195,3.666,6.035,NA,1,NA,5.367,5.367,3.463,6.774,130,300,DRY,330,TEMPERATE_STEPPE,332,STEPPES_OF_MODERATELY_CONTINENTAL_CLIMATE
109,Vandermyde_Whiles_2015_N04D_Open,8.857,6.168,9.179,4.5,0.588,2.646,NA,NA,NA,3.195,3.666,6.035,NA,1,NA,6.308,6.308,3.463,6.774,130,300,DRY,330,TEMPERATE_STEPPE,332,STEPPES_OF_MODERATELY_CONTINENTAL_CLIMATE
110,Vandermyde_Whiles_2015_N04D_Removal,9.373,6.995,9.727,4.5,0.47,2.646,NA,NA,NA,3.195,3.666,6.035,NA,1,NA,5.102,5.102,3.463,6.774,130,300,DRY,330,TEMPERATE_STEPPE,332,STEPPES_OF_MODERATELY_CONTINENTAL_CLIMATE
111,Venarsky_EtAl_2014_Hering,5.011,NA,NA,NA,NA,2.565,NA,NA,3.091,3.556,3.549,5.568,NA,4,NA,7.75,6.308,3.55,7.285,130,200,HUMID_TEMPERATE,230,SUBTROPICAL,231,OCEANIC_MIXED_CONSTANTLY_HUMID_FORESTS
112,Venarsky_EtAl_2014_Limrock,5.613,NA,NA,NA,NA,2.565,NA,NA,4.382,3.556,3.549,5.568,NA,4,NA,7.664,5.102,3.55,7.285,130,200,HUMID_TEMPERATE,230,SUBTROPICAL,231,OCEANIC_MIXED_CONSTANTLY_HUMID_FORESTS
113,Venarsky_EtAl_2014_TonySinks,7.519,NA,NA,NA,NA,2.565,NA,NA,4.89,3.556,3.549,5.568,NA,4,NA,7.676,5.367,3.55,7.285,130,200,HUMID_TEMPERATE,230,SUBTROPICAL,231,OCEANIC_MIXED_CONSTANTLY_HUMID_FORESTS
114,Wallace_EtAl_1995_DDP,8.401,6.682,8.517,3.157,0.788,2.407,NA,NA,3.829,3.626,3.557,6.743,NA,1,NA,4.864,4.597,3.459,7.491,60,200,HUMID_TEMPERATE,M230,SUBTROPICAL_REGIME_MOUNTAINS,M231,FOREST-MEADOW_OF_EASTERN_OCEANIC_(MONSOON_CLIMATE)
115,Wallace_EtAl_1995_DDT,9.386,7.425,11.699,3.157,1.099,2.407,NA,NA,6.717,3.626,3.557,6.743,NA,1,NA,1.225,1.916,3.459,7.491,60,200,HUMID_TEMPERATE,M230,SUBTROPICAL_REGIME_MOUNTAINS,M231,FOREST-MEADOW_OF_EASTERN_OCEANIC_(MONSOON_CLIMATE)
116,Wallace_EtAl_1995_RP,8.558,6.724,8.716,3.157,0.833,2.407,NA,NA,4.394,3.626,3.556,6.941,NA,1,NA,4.857,4.578,3.434,7.553,60,200,HUMID_TEMPERATE,M230,SUBTROPICAL_REGIME_MOUNTAINS,M231,FOREST-MEADOW_OF_EASTERN_OCEANIC_(MONSOON_CLIMATE)
