region_name,median_region,mgDMm2y,.lower,.upper,.width,.point,.interval,center_interval
Africa,1614.4443798978252,1761.7718144372088,769.2355028948475,2280.1163078846002,0.95,median,qi,1762 (769 to 2280)
Arctic (North America),675.6588322005482,639.4089188816948,533.103911061276,1122.3137909161053,0.95,median,qi,639 (533 to 1122)
Asia,1382.0423141374101,1506.7233655682776,518.1278249697199,3617.132605941645,0.95,median,qi,1507 (518 to 3617)
Australia,1288.6239198373382,1777.635308182543,172.53514336169016,2383.6442445281477,0.95,median,qi,1778 (173 to 2384)
Europe,1640.3015804699894,1785.257551468595,668.8424411235596,3583.77937926105,0.95,median,qi,1785 (669 to 3584)
North America,1368.8420591600952,1487.2968807006587,530.5493009702478,3866.582385038685,0.95,median,qi,1487 (531 to 3867)
Siberia,698.038427494005,618.7667394573153,498.65041291736856,1698.805357915353,0.95,median,qi,619 (499 to 1699)
South America,1069.4513273479997,1182.123157847242,231.6531593023811,3303.0443719601067,0.95,median,qi,1182 (232 to 3303)
