chemical,global_flux_MT_peryr,.lower,.upper,.width,.point,.interval
essential,368.46112148769663,109.7238126261483,850.2671359911352,0.95,median,qi
non-essential,11.24218735027551,4.539995929565165,49.220542745538715,0.95,median,qi
