name,country_region,y,ymin,ymax,.width,.point,.interval
kgN_peryear,China,28892182.130457994,7285762.921197782,92306267.83272637,0.95,median,qi
kgN_peryear,England,1161543.1540755192,314037.62402951025,4349899.368346028,0.95,median,qi
kgN_peryear,North Africa,586096.8967389652,94030.5707739024,3225089.603808408,0.95,median,qi
kgN_peryear,Tanzania,1488988.1804468932,331220.1844703548,5271115.700821482,0.95,median,qi
kgP_peryear,China,1467909.253402301,370163.7613189196,4689753.930211098,0.95,median,qi
kgP_peryear,England,59013.88605383686,15955.137349886405,221002.95177887077,0.95,median,qi
kgP_peryear,North Africa,29777.50362464097,4777.359644157944,163855.3589031691,0.95,median,qi
kgP_peryear,Tanzania,75650.2059420599,16828.12227550996,267806.68479980103,0.95,median,qi
