chemical,biomass_flux_s,water_conc_s
herbicide,0.22,0.17
Pb,0.9,0.07
insecticide,0.33,0.056
fungicide,0.26,0.054
Hg,0.9,0.02
Se,0.95,0.014
Cu,0.97,0.009
Zn,0.97,0.0043
Cd,0.97,0.0029
