"© 2002, by the American Society of Limnology and Oceanography, Inc.",,,,,,,,,,,,,,,,,,,,,,,,
"McCutchan, Jr., James H., and William M. Lewis, Jr. 2002. Relative importance of carbon sources for",,,,,,,,,,,,,,,,,,,,,,,,
macroinvertebrates in a Rocky Mountain stream. Limnol. Oceanogr. 47: 742-752.,,,,,,,,,,,,,,,,,,,,,,,,
Web Appendix 1.  Macroinvertebrate production (MP; units are mgDM m-2  yr-1) and the proportional,,,,,,,,,,,,,,,,,,,,,,,,
contribution of algal carbon to production (kalgal carbon) for taxa at each site.,,,,,,,,,,,,,,,,,,,,,,,,
Taxonomic group,,MP,kalgal carbon,MP,kalgal carbon,,,,,McCutchan_Lewis_2002_Montane_9495,8110,,2859,547,1832,941,947,mg m-2 yr-1 DM,"""Other taxa"" is 1231 mg. Not clear if that is only insects or not. ",,,Appendix Table 1/ Table 2,,
Montane site,,,,,,,,,,McCutchan_Lewis_2002_Montane_9596,6340,,2378,689,628,838,651,mg m-2 yr-1 DM,"""Other taxa"" is 1231 mg. Not clear if that is only insects or not. ",,,Appendix Table 1/ Table 2,,
Coleoptera:  Heterlimnius corpulentus,,571,0.54,475,0.43,,,,,,,,,,,,,,,,,,,
Diptera:  Bibiocephala grandis,,9,0.56,67,0.58,,,,,,,,,,,,,,,,,,,
Chironomidae,,941,0.83,838,0.39,,,,,,,,,,,,,,,,,,,
Clinocera sp.,,73,0.25,52,0.33,,,,,,,,,,,,,,,,,,,
Dicronota sp.,,27,0.23,24,0.24,,,,,,,,,,,,,,,,,,,
Hesperoconopa sp.,,15,0.31,25,0.23,,,,,,,,,,,,,,,,,,,
Hexatoma sp.,,9,0.99,8,0.91,,,,,,,,,,,,,,,,,,,
Simuliidae,,243,0.5,258,0.71,,,,,,,,,,,,,,,,,,,
Ephemeroptera:  Ameletus sp.,,23,0.32,1,0,,,,,,,,,,,,,,,,,,,
Ameletus velox,,10,0.15,23,0.28,,,,,,,,,,,,,,,,,,,
Baetis bicaudatus,,1012,0.55,657,0.59,,,,,,,,,,,,,,,,,,,
Cinygmula sp.,,146,0.49,98,0.32,,,,,,,,,,,,,,,,,,,
Drunella coloradensis,,129,0.62,322,0.41,,,,,,,,,,,,,,,,,,,
